程序执行时间,染色体路径,适应度,染色体任务说明
145.98627710342407,13287050404506305405054040430754545054050504045050250504545105340450535054504504535340405747540454045374054570505054540405045454035054035045754045067074504045353154505450464040540456545054340545040405a7625763474343434713435434310414343436434b02313184843435745747357374561735474564636567674643474657465465343534734363636846756564586504357543472346537345673437456345037656573565757636347343735356565375734656736565657367565634767536456475367367475745350434757573636354347675465674764043676574163757347565354357543536545737353464735473436535675457563754736456756434647457c,1826768.8529275,"[chromosome] a:1->3->2->8->7->0->5->0->4->0->4->5->0->6->3->0->5->4->0->5->0->5->4->0->4->0->4->3->0->7->5->4->5->4->5->0->5->4->0->5->0->5->0->4->0->4->5->0->5->0->2->5->0->5->0->4->5->4->5->1->0->5->3->4->0->4->5->0->5->3->5->0->5->4->5->0->4->5->0->4->5->3->5->3->4->0->4->0->5->7->4->7->5->4->0->4->5->4->0->4->5->3->7->4->0->5->4->5->7->0->5->0->5->0->5->4->5->4->0->4->0->5->0->4->5->4->5->4->0->3->5->0->5->4->0->3->5->0->4->5->7->5->4->0->4->5->0->6->7->0->7->4->5->0->4->0->4->5->3->5->3->1->5->4->5->0->5->4->5->0->4->6->4->0->4->0->5->4->0->4->5->6->5->4->5->0->5->4->3->4->0->5->4->5->0->4->0->4->0->5
b:7->6->2->5->7->6->3->4->7->4->3->4->3->4->3->4->7->1->3->4->3->5->4->3->4->3->1->0->4->1->4->3->4->3->4->3->6->4->3->4
c:0->2->3->1->3->1->8->4->8->4->3->4->3->5->7->4->5->7->4->7->3->5->7->3->7->4->5->6->1->7->3->5->4->7->4->5->6->4->6->3->6->5->6->7->6->7->4->6->4->3->4->7->4->6->5->7->4->6->5->4->6->5->3->4->3->5->3->4->7->3->4->3->6->3->6->3->6->8->4->6->7->5->6->5->6->4->5->8->6->5->0->4->3->5->7->5->4->3->4->7->2->3->4->6->5->3->7->3->4->5->6->7->3->4->3->7->4->5->6->3->4->5->0->3->7->6->5->6->5->7->3->5->6->5->7->5->7->6->3->6->3->4->7->3->4->3->7->3->5->3->5->6->5->6->5->3->7->5->7->3->4->6->5->6->7->3->6->5->6->5->6->5->7->3->6->7->5->6->5->6->3->4->7->6->7->5->3->6->4->5->6->4->7->5->3->6->7->3->6->7->4->7->5->7->4->5->3->5->0->4->3->4->7->5->7->5->7->3->6->3->6->3->5->4->3->4->7->6->7->5->4->6->5->6->7->4->7->6->4->0->4->3->6->7->6->5->7->4->1->6->3->7->5->7->3->4->7->5->6->5->3->5->4->3->5->7->5->4->3->5->3->6->5->4->5->7->3->7->3->5->3->4->6->4->7->3->5->4->7->3->4->3->6->5->3->5->6->7->5->4->5->7->5->6->3->7->5->4->7->3->6->4->5->6->7->5->6->4->3->4->6->4->7->4->5->7
"
178.8450756072998,013284a231871845151435145141415454151541415154151245151512541541514543124151454535154512151415415451314154145154541824354145454543424545454b67523184234232324232323423423243234234325832454230434142320243243423454245243452424323434245343423434252435234342434243243424232324243242434242424841432432342424343432323234323242534242535343424342423242434324541324324243425232342424342323232323432c,1587958.1644907496,"[chromosome] a:0->1->3->2->8->4
b:2->3->1->8->7->1->8->4->5->1->5->1->4->3->5->1->4->5->1->4->1->4->1->5->4->5->4->1->5->1->5->4->1->4->1->5->1->5->4->1->5->1->2->4->5->1->5->1->5->1->2->5->4->1->5->4->1->5->1->4->5->4->3->1->2->4->1->5->1->4->5->4->5->3->5->1->5->4->5->1->2->1->5->1->4->1->5->4->1->5->4->5->1->3->1->4->1->5->4->1->4->5->1->5->4->5->4->1->8->2->4->3->5->4->1->4->5->4->5->4->5->4->3->4->2->4->5->4->5->4->5->4
c:6->7->5->2->3->1->8->4->2->3->4->2->3->2->3->2->4->2->3->2->3->2->3->4->2->3->4->2->3->2->4->3->2->3->4->2->3->4->3->2->5->8->3->2->4->5->4->2->3->0->4->3->4->1->4->2->3->2->0->2->4->3->2->4->3->4->2->3->4->5->4->2->4->5->2->4->3->4->5->2->4->2->4->3->2->3->4->3->4->2->4->5->3->4->3->4->2->3->4->3->4->2->5->2->4->3->5->2->3->4->3->4->2->4->3->4->2->4->3->2->4->3->4->2->4->2->3->2->3->2->4->2->4->3->2->4->2->4->3->4->2->4->2->4->2->4->8->4->1->4->3->2->4->3->2->3->4->2->4->2->4->3->4->3->4->3->2->3->2->3->2->3->4->3->2->3->2->4->2->5->3->4->2->4->2->5->3->5->3->4->3->4->2->4->3->4->2->4->2->3->2->4->2->4->3->4->3->2->4->5->4->1->3->2->4->3->2->4->2->4->3->4->2->5->2->3->2->3->4->2->4->2->4->3->4->2->3->2->3->2->3->2->3->2->3->4->3->2
"
158.5893485546112,024a6752723254323232842423243237234253745234341430213243423454242343242432843243424342523543434283424382323232423232821437432342434353232343242542545404243528240324323242523242434231423232342b1357c,1677206.5364887498,"[chromosome] a:0->2->4
b:6->7->5->2->7->2->3->2->5->4->3->2->3->2->3->2->8->4->2->4->2->3->2->4->3->2->3->7->2->3->4->2->5->3->7->4->5->2->3->4->3->4->1->4->3->0->2->1->3->2->4->3->4->2->3->4->5->4->2->4->2->3->4->3->2->4->2->4->3->2->8->4->3->2->4->3->4->2->4->3->4->2->5->2->3->5->4->3->4->3->4->2->8->3->4->2->4->3->8->2->3->2->3->2->3->2->4->2->3->2->3->2->8->2->1->4->3->7->4->3->2->3->4->2->4->3->4->3->5->3->2->3->2->3->4->3->2->4->2->5->4->2->5->4->5->4->0->4->2->4->3->5->2->8->2->4->0->3->2->4->3->2->3->2->4->2->5->2->3->2->4->2->4->3->4->2->3->1->4->2->3->2->3->2->3->4->2
c:1->3->5->7
"
137.2490210533142,175303184a168203250b162030c,1234088.4361475,"[chromosome] a:1->7->5->3->0->3->1->8->4
b:1->6->8->2->0->3->2->5->0
c:1->6->2->0->3->0
"
128.6993272304535,7528120184a7530318102021b7528203161c,1668888.9872212498,"[chromosome] a:7->5->2->8->1->2->0->1->8->4
b:7->5->3->0->3->1->8->1->0->2->0->2->1
c:7->5->2->8->2->0->3->1->6->1
"
1212.3618302345276,75203184a753031205b681752035c,1208195.5165052498,"[chromosome] a:7->5->2->0->3->1->8->4
b:7->5->3->0->3->1->2->0->5
c:6->8->1->7->5->2->0->3->5
"
335.9003438949585,671753251a1203184b12030310815454545454545454545454545454545454545454545454545454545454545454545c,1104863.9690374997,"[chromosome] a:6->7->1->7->5->3->2->5->1
b:1->2->0->3->1->8->4
c:1->2->0->3->0->3->1->0->8->1->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5->4->5
"
327.1240015029907,030184a031262620861b27531815c,1445326.5675775,"[chromosome] a:0->3->0->1->8->4
b:0->3->1->2->6->2->6->2->0->8->6->1
c:2->7->5->3->1->8->1->5
"
330.2236924171448,7526184a75261405450450450505054054050540505045040454040454504540505054050504545040454054054054054505040540540450540540404040540405045454540450504505404054045454045054054040505404540405050545054050545405454040454054545b0303145405054540505040405040405450540505404545040540404040454504045054040540450540504545040404545450454040505050545405405040505050505450504540454545450450405454054054504545050454040505054545405450404504045450545045404545454504054050540540505405450504504050505050450504505040c,1374270.1888735038,"[chromosome] a:7->5->2->6->1->8->4
b:7->5->2->6->1->4->0->5->4->5->0->4->5->0->4->5->0->5->0->5->0->5->4->0->5->4->0->5->0->5->4->0->5->0->5->0->4->5->0->4->0->4->5->4->0->4->0->4->5->4->5->0->4->5->4->0->5->0->5->0->5->4->0->5->0->5->0->4->5->4->5->0->4->0->4->5->4->0->5->4->0->5->4->0->5->4->0->5->4->5->0->5->0->4->0->5->4->0->5->4->0->4->5->0->5->4->0->5->4->0->4->0->4->0->4->0->5->4->0->4->0->5->0->4->5->4->5->4->5->4->0->4->5->0->5->0->4->5->0->5->4->0->4->0->5->4->0->4->5->4->5->4->0->4->5->0->5->4->0->5->4->0->4->0->5->0->5->4->0->4->5->4->0->4->0->5->0->5->0->5->4->5->0->5->4->0->5->0->5->4->5->4->0->5->4->5->4->0->4->0->4->5->4->0->5->4->5->4->5
c:0->3->0->3->1->4->5->4->0->5->0->5->4->5->4->0->5->0->5->0->4->0->4->0->5->0->4->0->4->0->5->4->5->0->5->4->0->5->0->5->4->0->4->5->4->5->0->4->0->5->4->0->4->0->4->0->4->0->4->5->4->5->0->4->0->4->5->0->5->4->0->4->0->5->4->0->4->5->0->5->4->0->5->0->4->5->4->5->0->4->0->4->0->4->5->4->5->4->5->0->4->5->4->0->4->0->5->0->5->0->5->0->5->4->5->4->0->5->4->0->5->0->4->0->5->0->5->0->5->0->5->0->5->4->5->0->5->0->4->5->4->0->4->5->4->5->4->5->4->5->0->4->5->0->4->0->5->4->5->4->0->5->4->0->5->4->5->0->4->5->4->5->0->5->0->4->5->4->0->4->0->5->0->5->0->5->4->5->4->5->4->0->5->4->5->0->4->0->4->5->0->4->0->4->5->4->5->0->5->4->5->0->4->5->4->0->4->5->4->5->4->5->4->5->0->4->0->5->4->0->5->0->5->4->0->5->4->0->5->0->5->4->0->5->4->5->0->5->0->4->5->0->4->0->5->0->5->0->5->0->5->0->4->5->0->5->0->4->5->0->5->0->4->0
"
333.66367840766907,16281251a03031285b162753184c,1256655.3264964998,"[chromosome] a:1->6->2->8->1->2->5->1
b:0->3->0->3->1->2->8->5
c:1->6->2->7->5->3->1->8->4
"
